nome,sexo,instituicao,uf,nivel_bolsa,area_atuacao,ano_conclusao_doutorado,url,google_scholar,vigencia_inicio,vigencia_termino,situacao
Flavio Miguel Varejao,Masculino,UFES,ES,PQ-C,Ciencia da Computacao,,https://buscatextual.cnpq.br/buscatextual/busca.do?metodo=apresentar&termo=Flavio+Miguel+Varejao,,01/08/2025,31/07/2028,Suspenso
Francisco Airton Pereira da Silva,Masculino,UFPI,PI,PQ-2,Ciencia da Computacao,,https://buscatextual.cnpq.br/buscatextual/busca.do?metodo=apresentar&termo=Francisco+Airton+Pereira+da+Silva,,01/03/2023,31/07/2026,Em folha de pagamento
Francisco de Assis Tenorio de Carvalho,Masculino,UFPE,PE,PQ-1A,Ciencia da Computacao,,https://buscatextual.cnpq.br/buscatextual/busca.do?metodo=apresentar&termo=Francisco+de+Assis+Tenorio+de+Carvalho,,01/03/2021,31/07/2027,Em folha de pagamento
Francisco Madeiro Bernardino Junior,Masculino,UPE,PE,PQ-C,Ciencia da Computacao,,https://buscatextual.cnpq.br/buscatextual/busca.do?metodo=apresentar&termo=Francisco+Madeiro+Bernardino+Junior,,01/08/2025,31/07/2028,Em folha de pagamento
Franklin de Lima Marquezino,Masculino,UFRJ,RJ,PQ-C,Ciencia da Computacao,,https://buscatextual.cnpq.br/buscatextual/busca.do?metodo=apresentar&termo=Franklin+de+Lima+Marquezino,,01/08/2025,31/07/2028,Em folha de pagamento
Frederico Luiz Gonçalves de Freitas,Masculino,UFPE,PE,PQ-2,Ciencia da Computacao,,https://buscatextual.cnpq.br/buscatextual/busca.do?metodo=apresentar&termo=Frederico+Luiz+Gonçalves+de+Freitas,,01/03/2024,31/07/2027,Em folha de pagamento
Gabriel de Morais Coutinho,Masculino,UFMG,MG,PQ-2,Ciencia da Computacao,,https://buscatextual.cnpq.br/buscatextual/busca.do?metodo=apresentar&termo=Gabriel+de+Morais+Coutinho,,01/03/2023,31/07/2026,Em folha de pagamento
Gabriel de Oliveira Ramos,Masculino,UNISINOS,RS,PQ-2,Ciencia da Computacao,,https://buscatextual.cnpq.br/buscatextual/busca.do?metodo=apresentar&termo=Gabriel+de+Oliveira+Ramos,,01/03/2024,31/07/2027,Em folha de pagamento
Gabriel Luca Nazar,Masculino,UFRGS,RS,PQ-2,Ciencia da Computacao,,https://buscatextual.cnpq.br/buscatextual/busca.do?metodo=apresentar&termo=Gabriel+Luca+Nazar,,01/03/2024,31/07/2027,Em folha de pagamento
Genaina Nunes Rodrigues,Indefinido,UnB,DF,PQ-C,Ciencia da Computacao,,https://buscatextual.cnpq.br/buscatextual/busca.do?metodo=apresentar&termo=Genaina+Nunes+Rodrigues,,01/08/2025,31/07/2028,Em folha de pagamento
